Timestamp,Condition,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,collidingObject,AF3,AF4,FP1,FP2,AF7,AF8,
21/07/2022 6:25:35 p.m.:84,CaliberationScene,106,7.54298,0.2978998,0.8624385,4.671051,5.047913,teleport_marker_mesh,-0.016466187313199,0.0415842309594154,0.298729449510574,0.0370125733315945,-0.0398368053138256,-0.00932779721915722,
21/07/2022 6:25:35 p.m.:129,CaliberationScene,106,7.548085,0.2978998,0.8624385,4.671051,5.047913,teleport_marker_mesh,0.00516683328896761,0.00716490251943469,0.185703307390213,0.0370125733315945,-0.0398368053138256,-0.00932779721915722,
21/07/2022 6:25:35 p.m.:167,CaliberationScene,106,7.54298,0.2881967,0.8474873,4.671051,5.047913,teleport_marker_mesh,0.00516683328896761,0.00716490251943469,0.185703307390213,-0.0251977425068617,0.0117021529003978,-0.0292668361216784,
21/07/2022 6:25:35 p.m.:216,CaliberationScene,105,7.497033,0.2881967,0.8474873,4.671051,5.047913,teleport_marker_mesh,-0.000662145845126361,0.0031800139695406,0.180100336670876,-0.0251977425068617,0.0117021529003978,-0.0292668361216784,
21/07/2022 6:25:35 p.m.:256,CaliberationScene,105,7.486822,0.2881967,0.8474873,4.671051,5.047913,teleport_marker_mesh,-0.000662145845126361,0.0031800139695406,0.180100336670876,-0.0251977425068617,0.0117021529003978,-0.0292668361216784,
21/07/2022 6:25:35 p.m.:290,CaliberationScene,105,7.491927,0.2942306,0.8424073,4.671051,5.047913,teleport_marker_mesh,-0.000662145845126361,0.0031800139695406,0.180100336670876,-0.0122394934296608,0.0344514511525631,0.00338435801677406,
21/07/2022 6:25:35 p.m.:327,CaliberationScene,105,7.491927,0.2942306,0.8424073,4.671051,5.047913,teleport_marker_mesh,0.0140234371647239,0.00141803070437163,0.238742426037788,-0.0122394934296608,0.0344514511525631,0.00338435801677406,
21/07/2022 6:25:35 p.m.:378,CaliberationScene,105,7.486822,0.2942306,0.8424073,4.671051,5.047913,teleport_marker_mesh,0.0140234371647239,0.00141803070437163,0.238742426037788,-0.0751431584358215,0.00505053577944636,-0.0238548293709755,
21/07/2022 6:25:35 p.m.:398,CaliberationScene,105,7.486822,0.3069806,0.8450196,4.671051,5.047913,teleport_marker_mesh,-0.0337808392941952,-0.0131225883960724,-0.0450792498886585,-0.0751431584358215,0.00505053577944636,-0.0238548293709755,
21/07/2022 6:25:35 p.m.:419,CaliberationScene,105,7.481717,0.3069806,0.8450196,4.671051,5.047913,teleport_marker_mesh,-0.0337808392941952,-0.0131225883960724,-0.0450792498886585,-0.0751431584358215,0.00505053577944636,-0.0238548293709755,
21/07/2022 6:25:35 p.m.:458,CaliberationScene,105,7.481717,0.3069806,0.8450196,4.671051,5.047913,teleport_marker_mesh,-0.0337808392941952,-0.0131225883960724,-0.0450792498886585,-0.0751431584358215,0.00505053577944636,-0.0238548293709755,
21/07/2022 6:25:35 p.m.:502,CaliberationScene,105,7.476612,0.3069806,0.8450196,4.671051,5.047913,teleport_marker_mesh,-0.0337808392941952,-0.0131225883960724,-0.0450792498886585,-0.0297004133462906,0.0169970113784075,0.00755752716213465,
21/07/2022 6:25:35 p.m.:545,CaliberationScene,107,7.476612,0.2988086,0.8271412,4.671051,5.047913,teleport_marker_mesh,-0.0188966747373343,-4.20888827648014E-05,0.00816573575139046,-0.0297004133462906,0.0169970113784075,0.00755752716213465,
21/07/2022 6:25:35 p.m.:568,CaliberationScene,107,7.476612,0.2988086,0.8271412,4.671051,5.047913,teleport_marker_mesh,-0.0188966747373343,-4.20888827648014E-05,0.00816573575139046,0.0070209139958024,0.0301438421010971,-0.0131043344736099,
21/07/2022 6:25:35 p.m.:594,CaliberationScene,107,7.466401,0.2988086,0.8271412,4.671051,5.047913,teleport_marker_mesh,0.00767247099429369,-0.00611037481576204,-0.0124624045565724,0.0070209139958024,0.0301438421010971,-0.0131043344736099,
21/07/2022 6:25:35 p.m.:640,CaliberationScene,107,7.466401,0.2903113,0.8082395,4.671051,5.047913,teleport_marker_mesh,0.00767247099429369,-0.00611037481576204,-0.0124624045565724,0.0070209139958024,0.0301438421010971,-0.0131043344736099,
21/07/2022 6:25:35 p.m.:663,CaliberationScene,107,7.466401,0.2903113,0.8082395,4.671051,5.047913,teleport_marker_mesh,0.00767247099429369,-0.00611037481576204,-0.0124624045565724,-0.0146167501807213,0.0010653588688001,-0.0144134629517794,
