Timestamp,collidingObject,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,Condition,AF3,AF4,FP1,FP2,AF7,AF8,
20/07/2022 11:22:36 a.m.:846,teleport_marker_mesh,92,5.873569,0.02475944,0.9999998,2.266815,3.376022,CaliberationScene,-0.00885424111038446,-0.0403344333171844,0.0167865883558989,-0.00030151943792589,-0.00232371082529426,0.00290758488699794,
20/07/2022 11:22:36 a.m.:904,teleport_marker_mesh,92,5.868464,0.05941898,0.9956478,2.266815,3.376022,CaliberationScene,0.0176199283450842,0.0112997153773904,0.0224096439778805,0.00703700631856918,-0.0516147501766682,0.000131379973026924,
20/07/2022 11:22:36 a.m.:940,teleport_marker_mesh,92,5.868464,0.055134,0.9890645,2.266815,3.376022,CaliberationScene,0.00500503787770867,0.0104245757684112,0.014910084195435,0.00703700631856918,-0.0516147501766682,0.000131379973026924,
20/07/2022 11:22:36 a.m.:964,teleport_marker_mesh,88,5.827622,0.055134,0.9890645,2.266815,3.376022,CaliberationScene,0.00500503787770867,0.0104245757684112,0.014910084195435,0.00703700631856918,-0.0516147501766682,0.000131379973026924,
20/07/2022 11:22:36 a.m.:992,teleport_marker_mesh,88,5.822516,0.055134,0.9890645,2.266815,3.376022,CaliberationScene,0.00500503787770867,0.0104245757684112,0.014910084195435,-0.00949307531118393,-0.0162864532321692,-0.00509500224143267,
20/07/2022 11:22:37 a.m.:18,teleport_marker_mesh,88,5.817411,0.03324248,0.9610167,2.266815,3.376022,CaliberationScene,0.00951321702450514,-5.90484742133413E-05,-0.00221748976036906,-0.00949307531118393,-0.0162864532321692,-0.00509500224143267,
20/07/2022 11:22:37 a.m.:47,teleport_marker_mesh,88,5.817411,0.03324248,0.9610167,2.266815,3.376022,CaliberationScene,0.00951321702450514,-5.90484742133413E-05,-0.00221748976036906,-0.00949307531118393,-0.0162864532321692,-0.00509500224143267,
20/07/2022 11:22:37 a.m.:75,teleport_marker_mesh,88,5.822516,0.03324248,0.9610167,2.266815,3.376022,CaliberationScene,0.00951321702450514,-5.90484742133413E-05,-0.00221748976036906,-0.00949307531118393,-0.0162864532321692,-0.00509500224143267,
20/07/2022 11:22:37 a.m.:103,teleport_marker_mesh,88,5.817411,0.03324248,0.9610167,2.266815,3.376022,CaliberationScene,0.00951321702450514,-5.90484742133413E-05,-0.00221748976036906,-0.018996462225914,0.0388894565403461,-0.0575958117842674,
20/07/2022 11:22:37 a.m.:128,teleport_marker_mesh,88,5.817411,0.03516077,0.9156368,2.266815,3.376022,CaliberationScene,0.0316238515079021,-0.020660974085331,0.0256331078708172,-0.018996462225914,0.0388894565403461,-0.0575958117842674,
20/07/2022 11:22:37 a.m.:151,teleport_marker_mesh,88,5.812306,0.03516077,0.9156368,2.266815,3.376022,CaliberationScene,0.0316238515079021,-0.020660974085331,0.0256331078708172,-0.018996462225914,0.0388894565403461,-0.0575958117842674,
20/07/2022 11:22:37 a.m.:174,teleport_marker_mesh,88,5.817411,0.03516077,0.9156368,2.266815,3.376022,CaliberationScene,0.0316238515079021,-0.020660974085331,0.0256331078708172,-0.018996462225914,0.0388894565403461,-0.0575958117842674,
20/07/2022 11:22:37 a.m.:199,teleport_marker_mesh,88,5.812306,0.03516077,0.9156368,2.266815,3.376022,CaliberationScene,0.0316238515079021,-0.020660974085331,0.0256331078708172,-0.00602361373603344,0.00702526466920972,-0.0389781259000301,
20/07/2022 11:22:37 a.m.:232,teleport_marker_mesh,88,5.807201,0.03516077,0.9156368,2.266815,3.376022,CaliberationScene,-0.00801205821335316,0.00511953234672546,0.0240402277559042,-0.00602361373603344,0.00702526466920972,-0.0389781259000301,
20/07/2022 11:22:37 a.m.:262,teleport_marker_mesh,88,5.812306,0.04942391,0.8979673,2.266815,3.376022,CaliberationScene,-0.00801205821335316,0.00511953234672546,0.0240402277559042,-0.00602361373603344,0.00702526466920972,-0.0389781259000301,
20/07/2022 11:22:37 a.m.:285,teleport_marker_mesh,84,5.817411,0.04942391,0.8979673,2.266815,3.376022,CaliberationScene,-0.00801205821335316,0.00511953234672546,0.0240402277559042,-0.00602361373603344,0.00702526466920972,-0.0389781259000301,
20/07/2022 11:22:37 a.m.:308,teleport_marker_mesh,84,5.817411,0.04942391,0.8979673,2.266815,3.376022,CaliberationScene,-0.00801205821335316,0.00511953234672546,0.0240402277559042,0.01549949683249,0.0110340770334005,-0.0100697744637728,
20/07/2022 11:22:37 a.m.:336,teleport_marker_mesh,84,5.807201,0.04942391,0.8979673,2.266815,3.376022,CaliberationScene,0.0390815585851669,0.00284957909025252,0.033847413957119,0.01549949683249,0.0110340770334005,-0.0100697744637728,
20/07/2022 11:22:37 a.m.:359,teleport_marker_mesh,84,5.807201,0.03954433,0.9077067,2.266815,3.376022,CaliberationScene,0.0390815585851669,0.00284957909025252,0.033847413957119,0.01549949683249,0.0110340770334005,-0.0100697744637728,
20/07/2022 11:22:37 a.m.:387,teleport_marker_mesh,84,5.807201,0.03954433,0.9077067,2.266815,3.376022,CaliberationScene,0.0390815585851669,0.00284957909025252,0.033847413957119,0.01549949683249,0.0110340770334005,-0.0100697744637728,
MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,MainScene.,
20/07/2022 11:22:38 a.m.:40,teleport_marker_mesh,84,5.802096,0.03954433,0.9077067,2.266815,3.376022,HeartRate,0.0390815585851669,0.00284957909025252,0.033847413957119,-0.0230947379022837,0.000926623935811222,-0.0281679909676313,
20/07/2022 11:22:38 a.m.:87,teleport_marker_mesh,84,5.807201,0.03954433,0.9077067,2.266815,3.376022,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,-0.0230947379022837,0.000926623935811222,-0.0281679909676313,
MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,MainScene,
20/07/2022 11:22:38 a.m.:263,teleport_marker_mesh,84,5.802096,0.03897567,0.9063535,2.266815,3.376022,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:463,FadeQuad,30,5.78678,0.03897567,0.9063535,3.288055,3.420807,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:494,FadeQuad,30,5.78678,0.05788282,0.9024682,3.376877,3.363571,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:516,FadeQuad,30,5.791885,0.05788282,0.9024682,3.285324,3.364685,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:560,FadeQuad,30,5.78678,0.05788282,0.9024682,3.280746,3.401825,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:579,FadeQuad,30,5.78678,0.05788282,0.9024682,3.284409,3.437256,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:600,FadeQuad,30,5.781675,0.05788282,0.9024682,3.281845,3.435455,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:620,FadeQuad,30,5.78678,0.0793663,0.8450536,3.268631,3.454559,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:641,FadeQuad,30,5.781675,0.0793663,0.8450536,3.259293,3.471909,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:659,FadeQuad,30,5.781675,0.0793663,0.8450536,3.25647,3.475967,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:686,FadeQuad,30,5.781675,0.0793663,0.8450536,3.259415,3.469681,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:705,FadeQuad,30,5.776569,0.0793663,0.8450536,3.254593,3.46167,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:725,FadeQuad,30,5.781675,0.1105997,0.8463014,3.255295,3.452972,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:745,FadeQuad,30,5.781675,0.1105997,0.8463014,3.277924,3.446945,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:765,FadeQuad,30,5.776569,0.1105997,0.8463014,3.280029,3.434052,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:784,FadeQuad,30,5.781675,0.1105997,0.8463014,3.298325,3.436737,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:829,FadeQuad,30,5.781675,0.1105997,0.8463014,3.320343,3.520523,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:851,FadeQuad,30,5.776569,0.115861,0.8802249,3.259766,3.526306,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:868,FadeQuad,30,5.776569,0.115861,0.8802249,3.39978,3.623413,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:887,FadeQuad,30,5.776569,0.115861,0.8802249,3.280762,3.533157,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:905,FadeQuad,30,5.776569,0.115861,0.8802249,3.257889,3.545395,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:927,FadeQuad,30,5.771464,0.103091,0.9065138,3.237289,3.423599,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:956,FadeQuad,30,5.776569,0.103091,0.9065138,3.195999,3.4608,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:975,FadeQuad,30,5.766359,0.103091,0.9065138,3.201263,3.459229,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:38 a.m.:996,FadeQuad,30,5.771464,0.103091,0.9065138,3.198517,3.462036,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:32,FadeQuad,30,5.771464,0.103091,0.9065138,3.217224,3.462387,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:53,FadeQuad,30,5.766359,0.1037682,0.9104875,3.218658,3.46402,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:82,FadeQuad,30,5.771464,0.1037682,0.9104875,3.233017,3.470032,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:109,FadeQuad,30,5.771464,0.1037682,0.9104875,3.248245,3.475601,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:140,FadeQuad,30,5.766359,0.1037682,0.9104875,3.252136,3.495392,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:174,FadeQuad,30,5.766359,0.1248524,0.9085928,3.254654,3.499817,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:228,FadeQuad,30,5.766359,0.1248524,0.9085928,3.30484,3.667648,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:251,FadeQuad,30,5.766359,0.1248524,0.9085928,3.390045,3.667328,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:274,FadeQuad,30,5.766359,0.1343695,0.9171633,3.297394,3.714584,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:322,FadeQuad,30,5.761254,0.1343695,0.9171633,3.231644,3.720764,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:347,FadeQuad,30,5.761254,0.1343695,0.9171633,3.449265,3.77446,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:391,FadeQuad,30,5.761254,0.1225133,0.9293787,3.284348,3.663177,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:412,FadeQuad,30,5.766359,0.1225133,0.9293787,3.24855,3.559387,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:459,FadeQuad,30,5.766359,0.1225133,0.9293787,3.166794,3.627396,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:482,FadeQuad,30,5.766359,0.1225133,0.9293787,3.37439,3.760941,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:535,FadeQuad,30,5.766359,0.08442231,0.9335166,3.374374,3.707809,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:558,FadeQuad,30,5.766359,0.08442231,0.9335166,3.402924,3.773834,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:592,FadeQuad,30,5.766359,0.08442231,0.9335166,3.495224,3.698624,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
20/07/2022 11:22:39 a.m.:612,FadeQuad,30,5.766359,0.08442231,0.9335166,3.426132,3.691498,HeartRate,-0.00402163807302713,-0.0129171321168542,0.000441846175817773,0.000897248450201005,0.010483824647963,-0.00457922555506229,
