Timestamp,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,
15/07/2022 9:39:15 a.m.:104,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:136,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:165,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:182,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:207,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:223,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:243,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:266,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:289,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:310,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:338,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:355,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:377,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:398,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:422,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:444,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:470,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:488,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:510,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:533,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:556,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:583,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:608,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:623,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:644,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:666,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:688,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:716,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:733,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:756,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:778,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:801,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:843,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:859,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:874,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:891,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:906,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:922,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:938,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:962,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:977,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:15 a.m.:994,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:11,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:28,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:46,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:64,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:90,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:105,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:127,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:146,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:168,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:190,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:217,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:235,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:258,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:279,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:301,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:325,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:359,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:386,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:405,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:421,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:438,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:458,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:486,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:503,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:535,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:552,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:571,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:591,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:618,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:647,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:665,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:683,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:711,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:744,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:760,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:776,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:791,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:815,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:836,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:865,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:881,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:904,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:925,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:947,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:973,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:16 a.m.:999,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:17,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:38,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:60,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:83,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:104,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:131,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:150,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:170,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:202,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:228,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:253,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:278,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:294,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:311,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:326,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:349,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:376,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:394,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:417,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:439,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:460,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:483,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:509,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:531,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:549,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:572,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:596,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:17 a.m.:618,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:110,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:140,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:178,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:193,77,0,0,3.332642,-1,Floor,
