TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,collidingObjectName,
15/07/2022 5:47:54 a.m.:993,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:32,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:53,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:68,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:84,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:98,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:113,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:126,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:139,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:156,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:177,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:192,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:206,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:219,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:232,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:245,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:261,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:274,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:288,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:310,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:323,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:337,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:350,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:364,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:378,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:392,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:407,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:424,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:454,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:469,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:483,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:497,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:511,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:524,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:537,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:551,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:565,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:588,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:602,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:615,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:629,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:642,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:654,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:667,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:679,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:692,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:714,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:727,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:741,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:755,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:768,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:782,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:795,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:809,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:825,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:857,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:870,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:883,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:897,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:917,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:930,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:943,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:955,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:972,77,0,0,0,0,,
15/07/2022 5:47:55 a.m.:994,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:12,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:27,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:41,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:54,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:69,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:82,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:97,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:111,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:134,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:147,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:161,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:173,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:186,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:201,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:213,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:227,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:240,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:263,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:277,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:292,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:307,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:322,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:336,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:350,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:363,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:378,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:403,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:417,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:430,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:445,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:459,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:473,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:487,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:502,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:517,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:536,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:556,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:579,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:593,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:607,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:621,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:637,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:651,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:665,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:678,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:700,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:714,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:727,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:742,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:756,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:770,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:783,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:798,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:811,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:836,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:849,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:863,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:879,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:893,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:907,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:923,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:938,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:951,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:975,77,0,0,0,0,,
15/07/2022 5:47:56 a.m.:989,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:2,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:16,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:29,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:42,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:55,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:69,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:82,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:106,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:119,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:132,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:145,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:157,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:171,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:185,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:198,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:211,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:234,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:247,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:261,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:275,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:289,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:302,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:314,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:326,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:339,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:363,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:378,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:393,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:408,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:424,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:439,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:452,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:467,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:484,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:504,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:518,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:532,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:547,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:560,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:574,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:588,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:602,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:615,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:627,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:649,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:669,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:692,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:704,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:717,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:731,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:745,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:759,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:772,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:785,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:799,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:822,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:836,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:850,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:863,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:876,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:891,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:905,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:920,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:934,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:954,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:968,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:982,77,0,0,0,0,,
15/07/2022 5:47:57 a.m.:995,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:10,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:24,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:40,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:51,77,0,0,0,0,,
