TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,collidingObjectName,
15/07/2022 8:11:13 a.m.:185,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:221,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:248,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:266,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:293,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:324,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:344,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:362,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:388,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:408,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:427,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:450,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:482,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:502,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:519,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:537,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:561,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:582,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:604,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:630,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:648,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:671,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:693,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:715,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:738,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:764,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:787,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:815,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:833,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:848,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:872,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:900,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:927,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:944,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:960,77,0,0,0,0,,
15/07/2022 8:11:13 a.m.:983,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:4,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:32,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:51,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:76,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:94,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:115,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:138,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:163,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:189,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:219,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:238,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:255,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:271,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:295,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:319,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:339,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:360,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:383,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:407,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:427,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:453,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:472,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:493,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:515,77,0,0,0,0,,
15/07/2022 8:11:14 a.m.:538,77,0,0,0,0,,
