TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,rightPupilDialation,collidingObjectName,
13/07/2022 11:18:25 p.m.:643,0,0,0,0,0,,,
13/07/2022 11:18:25 p.m.:710,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:95,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:310,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:331,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:338,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:347,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:359,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:368,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:376,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:386,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:396,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:407,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:418,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:429,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:443,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:452,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:463,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:474,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:486,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:496,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:506,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:519,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:529,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:541,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:552,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:564,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:573,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:585,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:596,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:606,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:618,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:629,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:641,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:652,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:663,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:674,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:685,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:696,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:710,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:718,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:730,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:740,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:752,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:762,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:773,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:784,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:795,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:806,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:817,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:828,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:839,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:851,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:862,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:874,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:884,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:895,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:906,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:918,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:929,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:940,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:952,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:966,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:979,0,0,0,0,0,,,
13/07/2022 11:18:27 p.m.:993,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:5,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:11,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:18,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:29,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:40,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:52,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:64,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:74,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:87,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:100,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:108,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:121,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:135,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:149,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:164,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:177,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:185,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:197,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:207,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:224,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:236,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:244,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:251,0,0,0,0,0,,,
