Timestamp,collidingObject,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,Condition,AF3,AF4,FP1,FP2,AF7,
19/07/2022 5:44:40 p.m.:298,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:343,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:385,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:406,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:426,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:446,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:466,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:486,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:509,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:539,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:558,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:578,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:599,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:620,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:645,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:672,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:691,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:711,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:731,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:754,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:774,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
19/07/2022 5:44:40 p.m.:794,,77,0,0.9999999,0,0,0,-0.151891827583313,-0.302327543497086,0.174829304218292,0.190150991082191,0.0848612636327744,0.0562110021710396,
